16579,11277,9125,7882,7218,6538,6177,5695,5448,5208,5058,4721,4588,4486
12056,9970,8956,8041,7318,7019,6568,6502,6024,5780,5823,5472,5374,5097
10952,9501,8596,7997,7506,6991,6713,6497,6300,6136,5935,5801,5574,5501
9769,9116,8432,7783,7538,7099,6838,6699,6476,6364,6129,6081,5851,5825
9911,9109,8462,7975,7295,7220,6904,6596,6575,6304,6074,6020,5828,5727
8844,8645,8270,7838,7452,7316,7131,6730,6527,6449,6359,6207,6214,6018
6202,6987,7414,7307,7363,7314,7166,7336,7308,7139,7233,7126,7110,6995
4320,5583,6290,6820,7108,7376,7527,7592,7703,7734,7921,7860,8017,8149
4266,5664,6340,6829,7088,7271,7440,7749,7733,7758,7820,8041,7950,8051
4310,5673,6276,6794,7177,7157,7612,7537,7770,7826,7848,7932,7918,8170
3622,5089,5698,6504,6957,7303,7628,7695,7860,8151,8192,8390,8438,8473
3609,5002,5824,6504,6906,7286,7494,7790,7926,8115,8223,8385,8530,8406
3308,4720,5733,6361,6926,7208,7343,7776,8057,8302,8326,8406,8740,8794
2252,3664,4584,5365,6148,6902,7459,7806,8293,8734,9059,9558,9868,10308
